Reading CSV from /Users/joao/Downloads/ImageFX_Images/labs_imagefx_20251226_1452.csv...
Copied labs_imagefx_20251226_1438_1_var1.jpeg -> happy/
Copied labs_imagefx_20251226_1438_1_var2.jpeg -> happy/
Copied labs_imagefx_20251226_1438_1_var3.jpeg -> happy/
Copied labs_imagefx_20251226_1438_1_var4.jpeg -> happy/
Copied labs_imagefx_20251226_1438_2_var1.jpeg -> sad/
Copied labs_imagefx_20251226_1438_2_var2.jpeg -> sad/
Copied labs_imagefx_20251226_1438_2_var3.jpeg -> sad/
Copied labs_imagefx_20251226_1438_2_var4.jpeg -> sad/
Copied labs_imagefx_20251226_1439_3_var1.jpeg -> thinking/
Copied labs_imagefx_20251226_1439_3_var2.jpeg -> thinking/
Copied labs_imagefx_20251226_1439_3_var3.jpeg -> thinking/
Copied labs_imagefx_20251226_1439_3_var4.jpeg -> thinking/
Copied labs_imagefx_20251226_1439_4_var1.jpeg -> angry/
Copied labs_imagefx_20251226_1439_4_var2.jpeg -> angry/
Copied labs_imagefx_20251226_1439_4_var3.jpeg -> angry/
Copied labs_imagefx_20251226_1439_4_var4.jpeg -> angry/
Copied labs_imagefx_20251226_1439_5_var1.jpeg -> student/
Copied labs_imagefx_20251226_1439_5_var2.jpeg -> student/
Copied labs_imagefx_20251226_1439_5_var3.jpeg -> student/
Copied labs_imagefx_20251226_1439_5_var4.jpeg -> student/
Copied labs_imagefx_20251226_1440_6_var1.jpeg -> old/
Copied labs_imagefx_20251226_1440_6_var2.jpeg -> old/
Copied labs_imagefx_20251226_1440_6_var3.jpeg -> old/
Copied labs_imagefx_20251226_1440_6_var4.jpeg -> old/
Copied labs_imagefx_20251226_1440_7_var1.jpeg -> baby/
Copied labs_imagefx_20251226_1440_7_var2.jpeg -> baby/
Copied labs_imagefx_20251226_1440_7_var3.jpeg -> baby/
Copied labs_imagefx_20251226_1440_7_var4.jpeg -> baby/
Copied labs_imagefx_20251226_1441_8_var1.jpeg -> rich/
Copied labs_imagefx_20251226_1441_8_var2.jpeg -> rich/
Copied labs_imagefx_20251226_1441_8_var3.jpeg -> rich/
Copied labs_imagefx_20251226_1441_8_var4.jpeg -> rich/
Copied labs_imagefx_20251226_1441_9_var1.jpeg -> poor/
Copied labs_imagefx_20251226_1441_9_var2.jpeg -> poor/
Copied labs_imagefx_20251226_1441_9_var3.jpeg -> poor/
Copied labs_imagefx_20251226_1441_9_var4.jpeg -> poor/
Copied labs_imagefx_20251226_1441_10_var1.jpeg -> superhero/
Copied labs_imagefx_20251226_1441_10_var2.jpeg -> superhero/
Copied labs_imagefx_20251226_1441_10_var3.jpeg -> superhero/
Copied labs_imagefx_20251226_1441_10_var4.jpeg -> superhero/
Copied labs_imagefx_20251226_1442_11_var1.jpeg -> astronaut/
Copied labs_imagefx_20251226_1442_11_var2.jpeg -> astronaut/
Copied labs_imagefx_20251226_1442_11_var3.jpeg -> astronaut/
Copied labs_imagefx_20251226_1442_11_var4.jpeg -> astronaut/
Copied labs_imagefx_20251226_1442_12_var1.jpeg -> chef/
Copied labs_imagefx_20251226_1442_12_var2.jpeg -> chef/
Copied labs_imagefx_20251226_1442_12_var3.jpeg -> chef/
Copied labs_imagefx_20251226_1442_12_var4.jpeg -> chef/
Copied labs_imagefx_20251226_1444_13_var1.jpeg -> musician/
Copied labs_imagefx_20251226_1444_13_var2.jpeg -> musician/
Copied labs_imagefx_20251226_1444_13_var3.jpeg -> musician/
Copied labs_imagefx_20251226_1444_13_var4.jpeg -> musician/
Copied labs_imagefx_20251226_1444_14_var1.jpeg -> doctor/
Copied labs_imagefx_20251226_1444_14_var2.jpeg -> doctor/
Copied labs_imagefx_20251226_1444_14_var3.jpeg -> doctor/
Copied labs_imagefx_20251226_1444_14_var4.jpeg -> doctor/
Copied labs_imagefx_20251226_1444_15_var1.jpeg -> farmer/
Copied labs_imagefx_20251226_1444_15_var2.jpeg -> farmer/
Copied labs_imagefx_20251226_1444_15_var3.jpeg -> farmer/
Copied labs_imagefx_20251226_1444_15_var4.jpeg -> farmer/
Copied labs_imagefx_20251226_1445_16_var1.jpeg -> king/
Copied labs_imagefx_20251226_1445_16_var2.jpeg -> king/
Copied labs_imagefx_20251226_1445_16_var3.jpeg -> king/
Copied labs_imagefx_20251226_1445_16_var4.jpeg -> king/
Copied labs_imagefx_20251226_1445_17_var1.jpeg -> pirate/
Copied labs_imagefx_20251226_1445_17_var2.jpeg -> pirate/
Copied labs_imagefx_20251226_1445_17_var3.jpeg -> pirate/
Copied labs_imagefx_20251226_1445_17_var4.jpeg -> pirate/
Copied labs_imagefx_20251226_1446_18_var1.jpeg -> detective/
Copied labs_imagefx_20251226_1446_18_var2.jpeg -> detective/
Copied labs_imagefx_20251226_1446_18_var3.jpeg -> detective/
Copied labs_imagefx_20251226_1446_18_var4.jpeg -> detective/
Copied labs_imagefx_20251226_1446_19_var1.jpeg -> artist/
Copied labs_imagefx_20251226_1446_19_var2.jpeg -> artist/
Copied labs_imagefx_20251226_1446_19_var3.jpeg -> artist/
Copied labs_imagefx_20251226_1446_19_var4.jpeg -> artist/
Copied labs_imagefx_20251226_1446_20_var1.jpeg -> athlete/
Copied labs_imagefx_20251226_1446_20_var2.jpeg -> athlete/
Copied labs_imagefx_20251226_1446_20_var3.jpeg -> athlete/
Copied labs_imagefx_20251226_1446_20_var4.jpeg -> athlete/
Copied labs_imagefx_20251226_1447_21_var1.jpeg -> student/
Copied labs_imagefx_20251226_1447_21_var2.jpeg -> student/
Copied labs_imagefx_20251226_1447_21_var3.jpeg -> student/
Copied labs_imagefx_20251226_1447_21_var4.jpeg -> student/
Copied labs_imagefx_20251226_1448_22_var1.jpeg -> business/
Copied labs_imagefx_20251226_1448_22_var2.jpeg -> business/
Copied labs_imagefx_20251226_1448_22_var3.jpeg -> business/
Copied labs_imagefx_20251226_1448_22_var4.jpeg -> business/
Copied labs_imagefx_20251226_1448_23_var1.jpeg -> construction/
Copied labs_imagefx_20251226_1448_23_var2.jpeg -> construction/
Copied labs_imagefx_20251226_1448_23_var3.jpeg -> construction/
Copied labs_imagefx_20251226_1448_23_var4.jpeg -> construction/
Copied labs_imagefx_20251226_1449_24_var1.jpeg -> scientist/
Copied labs_imagefx_20251226_1449_24_var2.jpeg -> scientist/
Copied labs_imagefx_20251226_1449_24_var3.jpeg -> scientist/
Copied labs_imagefx_20251226_1449_24_var4.jpeg -> scientist/
Copied labs_imagefx_20251226_1449_25_var1.jpeg -> magician/
Copied labs_imagefx_20251226_1449_25_var2.jpeg -> magician/
Copied labs_imagefx_20251226_1449_25_var3.jpeg -> magician/
Copied labs_imagefx_20251226_1449_25_var4.jpeg -> magician/
Copied labs_imagefx_20251226_1450_26_var1.jpeg -> superhero/
Copied labs_imagefx_20251226_1450_26_var2.jpeg -> superhero/
Copied labs_imagefx_20251226_1450_26_var3.jpeg -> superhero/
Copied labs_imagefx_20251226_1450_26_var4.jpeg -> superhero/
Copied labs_imagefx_20251226_1450_27_var1.jpeg -> traveler/
Copied labs_imagefx_20251226_1450_27_var2.jpeg -> traveler/
Copied labs_imagefx_20251226_1450_27_var3.jpeg -> traveler/
Copied labs_imagefx_20251226_1450_27_var4.jpeg -> traveler/
Copied labs_imagefx_20251226_1451_28_var1.jpeg -> scientist/
Copied labs_imagefx_20251226_1451_28_var2.jpeg -> scientist/
Copied labs_imagefx_20251226_1451_28_var3.jpeg -> scientist/
Copied labs_imagefx_20251226_1451_28_var4.jpeg -> scientist/
